source,target,source_name,target_name,weight
1402195255,39558258,S. Gil-Lopez,S. García,1
145337392,39558258,D. Molina,S. García,1
2445552,39558258,Richard Benjamins,S. García,1
2091924780,39558258,Raja Chatila,S. García,1
2098723448,39558258,Francisco Herrera,S. García,1
1402195255,145337392,S. Gil-Lopez,D. Molina,1
1402195255,2445552,S. Gil-Lopez,Richard Benjamins,1
1402195255,2091924780,S. Gil-Lopez,Raja Chatila,1
1402195255,2098723448,S. Gil-Lopez,Francisco Herrera,1
145337392,2445552,D. Molina,Richard Benjamins,1
145337392,2091924780,D. Molina,Raja Chatila,1
145337392,2098723448,D. Molina,Francisco Herrera,1
2091924780,2445552,Raja Chatila,Richard Benjamins,1
2098723448,2445552,Francisco Herrera,Richard Benjamins,1
2091924780,2098723448,Raja Chatila,Francisco Herrera,1
11130878,1389230375,Victoria I. Marín,Olaf Zawacki-Richter,1
1389230375,145768607,Olaf Zawacki-Richter,Melissa Bond,1
1389230375,1389230390,Olaf Zawacki-Richter,Franziska Gouverneur,1
11130878,145768607,Victoria I. Marín,Melissa Bond,1
11130878,1389230390,Victoria I. Marín,Franziska Gouverneur,1
1389230390,145768607,Franziska Gouverneur,Melissa Bond,1
50487490,9139705,M. Berrada,Amina Adadi,1
121645690,143754359,Sébastien Bubeck,Varun Chandrasekaran,1
121645690,2315830,Sébastien Bubeck,Ronen Eldan,1
120962807,121645690,John A. Gehrke,Sébastien Bubeck,1
121645690,2064595436,Sébastien Bubeck,Eric Horvitz,1
121645690,1783184,Sébastien Bubeck,Ece Kamar,1
121645690,2397827688,Sébastien Bubeck,Peter Lee,1
121645690,2109308930,Sébastien Bubeck,Y. Lee,1
121645690,152244300,Sébastien Bubeck,Yuan-Fang Li,1
121645690,23451726,Sébastien Bubeck,Scott M. Lundberg,1
121645690,2268494857,Sébastien Bubeck,Harsha Nori,1
121645690,2247662718,Sébastien Bubeck,Hamid Palangi,1
121645690,78846919,Sébastien Bubeck,Marco Tulio Ribeiro,1
121645690,144884116,Sébastien Bubeck,Yi Zhang,1
143754359,2315830,Varun Chandrasekaran,Ronen Eldan,1
120962807,143754359,John A. Gehrke,Varun Chandrasekaran,1
143754359,2064595436,Varun Chandrasekaran,Eric Horvitz,1
143754359,1783184,Varun Chandrasekaran,Ece Kamar,1
143754359,2397827688,Varun Chandrasekaran,Peter Lee,1
143754359,2109308930,Varun Chandrasekaran,Y. Lee,1
143754359,152244300,Varun Chandrasekaran,Yuan-Fang Li,1
143754359,23451726,Varun Chandrasekaran,Scott M. Lundberg,1
143754359,2268494857,Varun Chandrasekaran,Harsha Nori,1
143754359,2247662718,Varun Chandrasekaran,Hamid Palangi,1
143754359,78846919,Varun Chandrasekaran,Marco Tulio Ribeiro,1
143754359,144884116,Varun Chandrasekaran,Yi Zhang,1
120962807,2315830,John A. Gehrke,Ronen Eldan,1
2064595436,2315830,Eric Horvitz,Ronen Eldan,1
1783184,2315830,Ece Kamar,Ronen Eldan,1
2315830,2397827688,Ronen Eldan,Peter Lee,1
2109308930,2315830,Y. Lee,Ronen Eldan,1
152244300,2315830,Yuan-Fang Li,Ronen Eldan,1
2315830,23451726,Ronen Eldan,Scott M. Lundberg,1
2268494857,2315830,Harsha Nori,Ronen Eldan,1
2247662718,2315830,Hamid Palangi,Ronen Eldan,1
2315830,78846919,Ronen Eldan,Marco Tulio Ribeiro,1
144884116,2315830,Yi Zhang,Ronen Eldan,1
120962807,2064595436,John A. Gehrke,Eric Horvitz,1
120962807,1783184,John A. Gehrke,Ece Kamar,1
120962807,2397827688,John A. Gehrke,Peter Lee,1
120962807,2109308930,John A. Gehrke,Y. Lee,1
120962807,152244300,John A. Gehrke,Yuan-Fang Li,1
120962807,23451726,John A. Gehrke,Scott M. Lundberg,1
120962807,2268494857,John A. Gehrke,Harsha Nori,1
120962807,2247662718,John A. Gehrke,Hamid Palangi,1
120962807,78846919,John A. Gehrke,Marco Tulio Ribeiro,1
120962807,144884116,John A. Gehrke,Yi Zhang,1
1783184,2064595436,Ece Kamar,Eric Horvitz,1
2064595436,2397827688,Eric Horvitz,Peter Lee,1
2064595436,2109308930,Eric Horvitz,Y. Lee,1
152244300,2064595436,Yuan-Fang Li,Eric Horvitz,1
2064595436,23451726,Eric Horvitz,Scott M. Lundberg,1
2064595436,2268494857,Eric Horvitz,Harsha Nori,1
2064595436,2247662718,Eric Horvitz,Hamid Palangi,1
2064595436,78846919,Eric Horvitz,Marco Tulio Ribeiro,1
144884116,2064595436,Yi Zhang,Eric Horvitz,1
1783184,2397827688,Ece Kamar,Peter Lee,1
1783184,2109308930,Ece Kamar,Y. Lee,1
152244300,1783184,Yuan-Fang Li,Ece Kamar,1
1783184,23451726,Ece Kamar,Scott M. Lundberg,1
1783184,2268494857,Ece Kamar,Harsha Nori,1
1783184,2247662718,Ece Kamar,Hamid Palangi,1
1783184,78846919,Ece Kamar,Marco Tulio Ribeiro,1
144884116,1783184,Yi Zhang,Ece Kamar,1
2109308930,2397827688,Y. Lee,Peter Lee,1
152244300,2397827688,Yuan-Fang Li,Peter Lee,1
23451726,2397827688,Scott M. Lundberg,Peter Lee,1
2268494857,2397827688,Harsha Nori,Peter Lee,1
2247662718,2397827688,Hamid Palangi,Peter Lee,1
2397827688,78846919,Peter Lee,Marco Tulio Ribeiro,1
144884116,2397827688,Yi Zhang,Peter Lee,1
152244300,2109308930,Yuan-Fang Li,Y. Lee,1
2109308930,23451726,Y. Lee,Scott M. Lundberg,1
2109308930,2268494857,Y. Lee,Harsha Nori,1
2109308930,2247662718,Y. Lee,Hamid Palangi,1
2109308930,78846919,Y. Lee,Marco Tulio Ribeiro,1
144884116,2109308930,Yi Zhang,Y. Lee,1
152244300,23451726,Yuan-Fang Li,Scott M. Lundberg,1
152244300,2268494857,Yuan-Fang Li,Harsha Nori,1
152244300,2247662718,Yuan-Fang Li,Hamid Palangi,1
152244300,78846919,Yuan-Fang Li,Marco Tulio Ribeiro,1
144884116,152244300,Yi Zhang,Yuan-Fang Li,1
2268494857,23451726,Harsha Nori,Scott M. Lundberg,1
2247662718,23451726,Hamid Palangi,Scott M. Lundberg,1
23451726,78846919,Scott M. Lundberg,Marco Tulio Ribeiro,1
144884116,23451726,Yi Zhang,Scott M. Lundberg,1
2247662718,2268494857,Hamid Palangi,Harsha Nori,1
2268494857,78846919,Harsha Nori,Marco Tulio Ribeiro,1
144884116,2268494857,Yi Zhang,Harsha Nori,1
2247662718,78846919,Hamid Palangi,Marco Tulio Ribeiro,1
144884116,2247662718,Yi Zhang,Hamid Palangi,1
144884116,78846919,Yi Zhang,Marco Tulio Ribeiro,1
1414886863,67293110,A. Al-Jabir,Ahmed Kerwan,2
35645232,67293110,Ginimol Mathew,Ahmed Kerwan,2
67293110,91573015,Ahmed Kerwan,C. Sohrabi,2
2290057522,67293110,Rasha Rashid,Ahmed Kerwan,2
2247509061,67293110,T. Franchi,Ahmed Kerwan,2
31614073,67293110,Maria Nicola,Ahmed Kerwan,2
15447189,67293110,M. Agha,Ahmed Kerwan,2
120002745,67293110,R. Agha,Ahmed Kerwan,2
1414886863,35645232,A. Al-Jabir,Ginimol Mathew,2
1414886863,91573015,A. Al-Jabir,C. Sohrabi,2
1414886863,2290057522,A. Al-Jabir,Rasha Rashid,2
1414886863,2247509061,A. Al-Jabir,T. Franchi,2
1414886863,31614073,A. Al-Jabir,Maria Nicola,2
1414886863,15447189,A. Al-Jabir,M. Agha,2
120002745,1414886863,R. Agha,A. Al-Jabir,2
35645232,91573015,Ginimol Mathew,C. Sohrabi,2
2290057522,35645232,Rasha Rashid,Ginimol Mathew,2
2247509061,35645232,T. Franchi,Ginimol Mathew,2
31614073,35645232,Maria Nicola,Ginimol Mathew,2
15447189,35645232,M. Agha,Ginimol Mathew,2
120002745,35645232,R. Agha,Ginimol Mathew,2
2290057522,91573015,Rasha Rashid,C. Sohrabi,2
2247509061,91573015,T. Franchi,C. Sohrabi,2
31614073,91573015,Maria Nicola,C. Sohrabi,2
15447189,91573015,M. Agha,C. Sohrabi,2
120002745,91573015,R. Agha,C. Sohrabi,2
2247509061,2290057522,T. Franchi,Rasha Rashid,2
2290057522,31614073,Rasha Rashid,Maria Nicola,2
15447189,2290057522,M. Agha,Rasha Rashid,2
120002745,2290057522,R. Agha,Rasha Rashid,2
2247509061,31614073,T. Franchi,Maria Nicola,2
15447189,2247509061,M. Agha,T. Franchi,2
120002745,2247509061,R. Agha,T. Franchi,2
15447189,31614073,M. Agha,Maria Nicola,2
120002745,31614073,R. Agha,Maria Nicola,2
120002745,15447189,R. Agha,M. Agha,2
1716508276,2243408972,Shuroug A. Alowais,S. Alghamdi,1
1716508276,2291423525,Shuroug A. Alowais,N. Alsuhebany,1
1716508276,2243412243,Shuroug A. Alowais,Tariq Alqahtani,1
1716508276,2078203152,Shuroug A. Alowais,Abdulrahman I. Alshaya,1
1716508276,2159384173,Shuroug A. Alowais,Sumaya N Almohareb,1
1716508276,2003687008,Shuroug A. Alowais,Atheer O. Aldairem,1
144882464,1716508276,Mohammed A. Alrashed,Shuroug A. Alowais,1
1716508276,5565754,Shuroug A. Alowais,Khalid Bin saleh,1
11708863,1716508276,H. Badreldin,Shuroug A. Alowais,1
12112205,1716508276,Majed S. Al Yami,Shuroug A. Alowais,1
1716508276,4884356,Shuroug A. Alowais,Shmeylan A. Al Harbi,1
1716508276,6458651,Shuroug A. Alowais,Abdulkareem M. Albekairy,1
2243408972,2291423525,S. Alghamdi,N. Alsuhebany,1
2243408972,2243412243,S. Alghamdi,Tariq Alqahtani,1
2078203152,2243408972,Abdulrahman I. Alshaya,S. Alghamdi,1
2159384173,2243408972,Sumaya N Almohareb,S. Alghamdi,1
2003687008,2243408972,Atheer O. Aldairem,S. Alghamdi,1
144882464,2243408972,Mohammed A. Alrashed,S. Alghamdi,1
2243408972,5565754,S. Alghamdi,Khalid Bin saleh,1
11708863,2243408972,H. Badreldin,S. Alghamdi,1
12112205,2243408972,Majed S. Al Yami,S. Alghamdi,1
2243408972,4884356,S. Alghamdi,Shmeylan A. Al Harbi,1
2243408972,6458651,S. Alghamdi,Abdulkareem M. Albekairy,1
2243412243,2291423525,Tariq Alqahtani,N. Alsuhebany,1
2078203152,2291423525,Abdulrahman I. Alshaya,N. Alsuhebany,1
2159384173,2291423525,Sumaya N Almohareb,N. Alsuhebany,1
2003687008,2291423525,Atheer O. Aldairem,N. Alsuhebany,1
144882464,2291423525,Mohammed A. Alrashed,N. Alsuhebany,1
2291423525,5565754,N. Alsuhebany,Khalid Bin saleh,1
11708863,2291423525,H. Badreldin,N. Alsuhebany,1
12112205,2291423525,Majed S. Al Yami,N. Alsuhebany,1
2291423525,4884356,N. Alsuhebany,Shmeylan A. Al Harbi,1
2291423525,6458651,N. Alsuhebany,Abdulkareem M. Albekairy,1
2078203152,2243412243,Abdulrahman I. Alshaya,Tariq Alqahtani,1
2159384173,2243412243,Sumaya N Almohareb,Tariq Alqahtani,1
2003687008,2243412243,Atheer O. Aldairem,Tariq Alqahtani,1
144882464,2243412243,Mohammed A. Alrashed,Tariq Alqahtani,1
2243412243,5565754,Tariq Alqahtani,Khalid Bin saleh,1
11708863,2243412243,H. Badreldin,Tariq Alqahtani,1
12112205,2243412243,Majed S. Al Yami,Tariq Alqahtani,1
2243412243,4884356,Tariq Alqahtani,Shmeylan A. Al Harbi,1
2243412243,6458651,Tariq Alqahtani,Abdulkareem M. Albekairy,1
2078203152,2159384173,Abdulrahman I. Alshaya,Sumaya N Almohareb,1
2003687008,2078203152,Atheer O. Aldairem,Abdulrahman I. Alshaya,1
144882464,2078203152,Mohammed A. Alrashed,Abdulrahman I. Alshaya,1
2078203152,5565754,Abdulrahman I. Alshaya,Khalid Bin saleh,1
11708863,2078203152,H. Badreldin,Abdulrahman I. Alshaya,1
12112205,2078203152,Majed S. Al Yami,Abdulrahman I. Alshaya,1
2078203152,4884356,Abdulrahman I. Alshaya,Shmeylan A. Al Harbi,1
2078203152,6458651,Abdulrahman I. Alshaya,Abdulkareem M. Albekairy,1
2003687008,2159384173,Atheer O. Aldairem,Sumaya N Almohareb,1
144882464,2159384173,Mohammed A. Alrashed,Sumaya N Almohareb,1
2159384173,5565754,Sumaya N Almohareb,Khalid Bin saleh,1
11708863,2159384173,H. Badreldin,Sumaya N Almohareb,1
12112205,2159384173,Majed S. Al Yami,Sumaya N Almohareb,1
2159384173,4884356,Sumaya N Almohareb,Shmeylan A. Al Harbi,1
2159384173,6458651,Sumaya N Almohareb,Abdulkareem M. Albekairy,1
144882464,2003687008,Mohammed A. Alrashed,Atheer O. Aldairem,1
2003687008,5565754,Atheer O. Aldairem,Khalid Bin saleh,1
11708863,2003687008,H. Badreldin,Atheer O. Aldairem,1
12112205,2003687008,Majed S. Al Yami,Atheer O. Aldairem,1
2003687008,4884356,Atheer O. Aldairem,Shmeylan A. Al Harbi,1
2003687008,6458651,Atheer O. Aldairem,Abdulkareem M. Albekairy,1
144882464,5565754,Mohammed A. Alrashed,Khalid Bin saleh,1
11708863,144882464,H. Badreldin,Mohammed A. Alrashed,1
12112205,144882464,Majed S. Al Yami,Mohammed A. Alrashed,1
144882464,4884356,Mohammed A. Alrashed,Shmeylan A. Al Harbi,1
144882464,6458651,Mohammed A. Alrashed,Abdulkareem M. Albekairy,1
11708863,5565754,H. Badreldin,Khalid Bin saleh,1
12112205,5565754,Majed S. Al Yami,Khalid Bin saleh,1
4884356,5565754,Shmeylan A. Al Harbi,Khalid Bin saleh,1
5565754,6458651,Khalid Bin saleh,Abdulkareem M. Albekairy,1
11708863,12112205,H. Badreldin,Majed S. Al Yami,1
11708863,4884356,H. Badreldin,Shmeylan A. Al Harbi,1
11708863,6458651,H. Badreldin,Abdulkareem M. Albekairy,1
12112205,4884356,Majed S. Al Yami,Shmeylan A. Al Harbi,1
12112205,6458651,Majed S. Al Yami,Abdulkareem M. Albekairy,1
4884356,6458651,Shmeylan A. Al Harbi,Abdulkareem M. Albekairy,1
1557487144,2047009195,Michael Moor,Oishi Banerjee,1
115517806,1557487144,Zahra F H Abad,Michael Moor,1
1557487144,2117715807,Michael Moor,H. Krumholz,1
1557487144,1702139,Michael Moor,J. Leskovec,1
144758045,1557487144,E. Topol,Michael Moor,1
1453104568,1557487144,P. Rajpurkar,Michael Moor,1
115517806,2047009195,Zahra F H Abad,Oishi Banerjee,1
2047009195,2117715807,Oishi Banerjee,H. Krumholz,1
1702139,2047009195,J. Leskovec,Oishi Banerjee,1
144758045,2047009195,E. Topol,Oishi Banerjee,1
1453104568,2047009195,P. Rajpurkar,Oishi Banerjee,1
115517806,2117715807,Zahra F H Abad,H. Krumholz,1
115517806,1702139,Zahra F H Abad,J. Leskovec,1
115517806,144758045,Zahra F H Abad,E. Topol,1
115517806,1453104568,Zahra F H Abad,P. Rajpurkar,1
1702139,2117715807,J. Leskovec,H. Krumholz,1
144758045,2117715807,E. Topol,H. Krumholz,1
1453104568,2117715807,P. Rajpurkar,H. Krumholz,1
144758045,1702139,E. Topol,J. Leskovec,1
1453104568,1702139,P. Rajpurkar,J. Leskovec,1
144758045,1453104568,E. Topol,P. Rajpurkar,1
1724490,2066599148,Yogesh Kumar Dwivedi,Laurie Hughes,1
1724490,3446873,Yogesh Kumar Dwivedi,Elvira R. Ismagilova,1
1724490,91018104,Yogesh Kumar Dwivedi,G. Aarts,1
1724490,2235927,Yogesh Kumar Dwivedi,Crispin R. Coombs,1
1724490,2285182,Yogesh Kumar Dwivedi,Tom Crick,1
144521858,1724490,Y. Duan,Yogesh Kumar Dwivedi,1
1410968693,1724490,R. Dwivedi,Yogesh Kumar Dwivedi,1
143698898,1724490,J. Edwards,Yogesh Kumar Dwivedi,1
121714298,1724490,Aled Eirug,Yogesh Kumar Dwivedi,1
1724490,26898704,Yogesh Kumar Dwivedi,Vassilis Galanos,1
1724490,2937059,Yogesh Kumar Dwivedi,P. Ilavarasan,1
1724490,50817520,Yogesh Kumar Dwivedi,M. Janssen,1
1724490,2168272578,Yogesh Kumar Dwivedi,Paul Jones,1
1724490,2733956,Yogesh Kumar Dwivedi,A. Kar,1
1724490,41074539,Yogesh Kumar Dwivedi,Hatice Kizgin,1
1418648774,1724490,Bianca Kronemann,Yogesh Kumar Dwivedi,1
1696747,1724490,Banita Lal,Yogesh Kumar Dwivedi,1
1724490,3094343,Yogesh Kumar Dwivedi,B. Lucini,1
1724490,2575165,Yogesh Kumar Dwivedi,R. Medaglia,1
1404797274,1724490,K. L. Meunier-FitzHugh,Yogesh Kumar Dwivedi,1
1415234363,1724490,L. Meunier-FitzHugh,Yogesh Kumar Dwivedi,1
1724490,47033159,Yogesh Kumar Dwivedi,S. Misra,1
1724490,52563419,Yogesh Kumar Dwivedi,E. Mogaji,1
1724490,2038468629,Yogesh Kumar Dwivedi,S. Sharma,1
153278840,1724490,J. Singh,Yogesh Kumar Dwivedi,1
1724490,35098701,Yogesh Kumar Dwivedi,Vishnupriya Raghavan,1
1724490,2775338,Yogesh Kumar Dwivedi,R. Raman,1
1688149,1724490,Nripendra P. Rana,Yogesh Kumar Dwivedi,1
1724490,2032434,Yogesh Kumar Dwivedi,Spyridon Samothrakis,1
1724490,66781543,Yogesh Kumar Dwivedi,Jak Spencer,1
1724490,2191954,Yogesh Kumar Dwivedi,K. Tamilmani,1
102927759,1724490,Annie Tubadji,Yogesh Kumar Dwivedi,1
144340154,1724490,P. Walton,Yogesh Kumar Dwivedi,1
1724490,2116399602,Yogesh Kumar Dwivedi,Michael D. Williams,1
2066599148,3446873,Laurie Hughes,Elvira R. Ismagilova,1
2066599148,91018104,Laurie Hughes,G. Aarts,1
2066599148,2235927,Laurie Hughes,Crispin R. Coombs,1
2066599148,2285182,Laurie Hughes,Tom Crick,1
144521858,2066599148,Y. Duan,Laurie Hughes,1
1410968693,2066599148,R. Dwivedi,Laurie Hughes,1
143698898,2066599148,J. Edwards,Laurie Hughes,1
121714298,2066599148,Aled Eirug,Laurie Hughes,1
2066599148,26898704,Laurie Hughes,Vassilis Galanos,1
2066599148,2937059,Laurie Hughes,P. Ilavarasan,1
2066599148,50817520,Laurie Hughes,M. Janssen,1
2066599148,2168272578,Laurie Hughes,Paul Jones,1
2066599148,2733956,Laurie Hughes,A. Kar,1
2066599148,41074539,Laurie Hughes,Hatice Kizgin,1
1418648774,2066599148,Bianca Kronemann,Laurie Hughes,1
1696747,2066599148,Banita Lal,Laurie Hughes,1
2066599148,3094343,Laurie Hughes,B. Lucini,1
2066599148,2575165,Laurie Hughes,R. Medaglia,1
1404797274,2066599148,K. L. Meunier-FitzHugh,Laurie Hughes,1
1415234363,2066599148,L. Meunier-FitzHugh,Laurie Hughes,1
2066599148,47033159,Laurie Hughes,S. Misra,1
2066599148,52563419,Laurie Hughes,E. Mogaji,1
2038468629,2066599148,S. Sharma,Laurie Hughes,1
153278840,2066599148,J. Singh,Laurie Hughes,1
2066599148,35098701,Laurie Hughes,Vishnupriya Raghavan,1
2066599148,2775338,Laurie Hughes,R. Raman,1
1688149,2066599148,Nripendra P. Rana,Laurie Hughes,1
2032434,2066599148,Spyridon Samothrakis,Laurie Hughes,1
2066599148,66781543,Laurie Hughes,Jak Spencer,1
2066599148,2191954,Laurie Hughes,K. Tamilmani,1
102927759,2066599148,Annie Tubadji,Laurie Hughes,1
144340154,2066599148,P. Walton,Laurie Hughes,1
2066599148,2116399602,Laurie Hughes,Michael D. Williams,1
3446873,91018104,Elvira R. Ismagilova,G. Aarts,1
2235927,3446873,Crispin R. Coombs,Elvira R. Ismagilova,1
2285182,3446873,Tom Crick,Elvira R. Ismagilova,1
144521858,3446873,Y. Duan,Elvira R. Ismagilova,1
1410968693,3446873,R. Dwivedi,Elvira R. Ismagilova,1
143698898,3446873,J. Edwards,Elvira R. Ismagilova,1
121714298,3446873,Aled Eirug,Elvira R. Ismagilova,1
26898704,3446873,Vassilis Galanos,Elvira R. Ismagilova,1
2937059,3446873,P. Ilavarasan,Elvira R. Ismagilova,1
3446873,50817520,Elvira R. Ismagilova,M. Janssen,1
2168272578,3446873,Paul Jones,Elvira R. Ismagilova,1
2733956,3446873,A. Kar,Elvira R. Ismagilova,1
3446873,41074539,Elvira R. Ismagilova,Hatice Kizgin,1
1418648774,3446873,Bianca Kronemann,Elvira R. Ismagilova,1
1696747,3446873,Banita Lal,Elvira R. Ismagilova,1
3094343,3446873,B. Lucini,Elvira R. Ismagilova,1
2575165,3446873,R. Medaglia,Elvira R. Ismagilova,1
1404797274,3446873,K. L. Meunier-FitzHugh,Elvira R. Ismagilova,1
1415234363,3446873,L. Meunier-FitzHugh,Elvira R. Ismagilova,1
3446873,47033159,Elvira R. Ismagilova,S. Misra,1
3446873,52563419,Elvira R. Ismagilova,E. Mogaji,1
2038468629,3446873,S. Sharma,Elvira R. Ismagilova,1
153278840,3446873,J. Singh,Elvira R. Ismagilova,1
3446873,35098701,Elvira R. Ismagilova,Vishnupriya Raghavan,1
2775338,3446873,R. Raman,Elvira R. Ismagilova,1
1688149,3446873,Nripendra P. Rana,Elvira R. Ismagilova,1
2032434,3446873,Spyridon Samothrakis,Elvira R. Ismagilova,1
3446873,66781543,Elvira R. Ismagilova,Jak Spencer,1
2191954,3446873,K. Tamilmani,Elvira R. Ismagilova,1
102927759,3446873,Annie Tubadji,Elvira R. Ismagilova,1
144340154,3446873,P. Walton,Elvira R. Ismagilova,1
2116399602,3446873,Michael D. Williams,Elvira R. Ismagilova,1
2235927,91018104,Crispin R. Coombs,G. Aarts,1
2285182,91018104,Tom Crick,G. Aarts,1
144521858,91018104,Y. Duan,G. Aarts,1
1410968693,91018104,R. Dwivedi,G. Aarts,1
143698898,91018104,J. Edwards,G. Aarts,1
121714298,91018104,Aled Eirug,G. Aarts,1
26898704,91018104,Vassilis Galanos,G. Aarts,1
2937059,91018104,P. Ilavarasan,G. Aarts,1
50817520,91018104,M. Janssen,G. Aarts,1
2168272578,91018104,Paul Jones,G. Aarts,1
2733956,91018104,A. Kar,G. Aarts,1
41074539,91018104,Hatice Kizgin,G. Aarts,1
1418648774,91018104,Bianca Kronemann,G. Aarts,1
1696747,91018104,Banita Lal,G. Aarts,1
3094343,91018104,B. Lucini,G. Aarts,1
2575165,91018104,R. Medaglia,G. Aarts,1
1404797274,91018104,K. L. Meunier-FitzHugh,G. Aarts,1
1415234363,91018104,L. Meunier-FitzHugh,G. Aarts,1
47033159,91018104,S. Misra,G. Aarts,1
52563419,91018104,E. Mogaji,G. Aarts,1
2038468629,91018104,S. Sharma,G. Aarts,1
153278840,91018104,J. Singh,G. Aarts,1
35098701,91018104,Vishnupriya Raghavan,G. Aarts,1
2775338,91018104,R. Raman,G. Aarts,1
1688149,91018104,Nripendra P. Rana,G. Aarts,1
2032434,91018104,Spyridon Samothrakis,G. Aarts,1
66781543,91018104,Jak Spencer,G. Aarts,1
2191954,91018104,K. Tamilmani,G. Aarts,1
102927759,91018104,Annie Tubadji,G. Aarts,1
144340154,91018104,P. Walton,G. Aarts,1
2116399602,91018104,Michael D. Williams,G. Aarts,1
2235927,2285182,Crispin R. Coombs,Tom Crick,1
144521858,2235927,Y. Duan,Crispin R. Coombs,1
1410968693,2235927,R. Dwivedi,Crispin R. Coombs,1
143698898,2235927,J. Edwards,Crispin R. Coombs,1
121714298,2235927,Aled Eirug,Crispin R. Coombs,1
2235927,26898704,Crispin R. Coombs,Vassilis Galanos,1
2235927,2937059,Crispin R. Coombs,P. Ilavarasan,1
2235927,50817520,Crispin R. Coombs,M. Janssen,1
2168272578,2235927,Paul Jones,Crispin R. Coombs,1
2235927,2733956,Crispin R. Coombs,A. Kar,1
2235927,41074539,Crispin R. Coombs,Hatice Kizgin,1
1418648774,2235927,Bianca Kronemann,Crispin R. Coombs,1
1696747,2235927,Banita Lal,Crispin R. Coombs,1
2235927,3094343,Crispin R. Coombs,B. Lucini,1
2235927,2575165,Crispin R. Coombs,R. Medaglia,1
1404797274,2235927,K. L. Meunier-FitzHugh,Crispin R. Coombs,1
1415234363,2235927,L. Meunier-FitzHugh,Crispin R. Coombs,1
2235927,47033159,Crispin R. Coombs,S. Misra,1
2235927,52563419,Crispin R. Coombs,E. Mogaji,1
2038468629,2235927,S. Sharma,Crispin R. Coombs,1
153278840,2235927,J. Singh,Crispin R. Coombs,1
2235927,35098701,Crispin R. Coombs,Vishnupriya Raghavan,1
2235927,2775338,Crispin R. Coombs,R. Raman,1
1688149,2235927,Nripendra P. Rana,Crispin R. Coombs,1
2032434,2235927,Spyridon Samothrakis,Crispin R. Coombs,1
2235927,66781543,Crispin R. Coombs,Jak Spencer,1
2191954,2235927,K. Tamilmani,Crispin R. Coombs,1
102927759,2235927,Annie Tubadji,Crispin R. Coombs,1
144340154,2235927,P. Walton,Crispin R. Coombs,1
